patrol_rank,spatial_cell_id,cell_lat,cell_lon,forecasted_count,severity_score,persistence_score,persistence_score.1,stability_class,priority_score,police_station,pred_lgbm,pred_rolling,pred_lag1,ranking_basis
16,CELL_2601_15510,13.0084204328594,77.55451193412323,511.2733217666009,1.0323854660347551,1.0,0.595836570545279,Persistent,0.19274,MALLESHWARAM,452.6999421663377,461.6666666666667,633.0,April-2024-proxy (last observed window)
17,CELL_2586_15537,12.931875639629013,77.68738436654637,489.9734500271584,2.919020715630885,1.0,0.577347397058434,Persistent,0.191664,HAL OLD AIRPORT,498.3672501357923,462.0,531.0,April-2024-proxy (last observed window)
18,CELL_2593_15515,12.968385393734588,77.57663545386495,506.4484713366977,1.051762114537445,1.0,0.6649082122608527,Persistent,0.190992,CITY MARKET,405.4090233501551,578.3333333333334,454.0,April-2024-proxy (last observed window)
19,CELL_2607_15517,13.035671033213646,77.58911497235188,497.2566036148943,1.1382405745062836,1.0,0.6605811035916287,Persistent,0.187845,HEBBALA,426.61635140780487,489.6666666666667,557.0,April-2024-proxy (last observed window)
20,CELL_2594_15510,12.97359337821101,77.55112304518349,482.7810952983091,1.091743119266055,1.0,0.550475925246365,Persistent,0.1822,MAGADI ROAD,435.7388098248789,529.6666666666666,436.0,April-2024-proxy (last observed window)
21,CELL_2599_15510,12.997766326031536,77.55212251938076,452.96180004294393,1.078358208955224,1.0,0.6574432129491949,Persistent,0.170885,MALLESHWARAM,473.30900021471984,395.0,536.0,April-2024-proxy (last observed window)
22,CELL_2596_15519,12.981306411504423,77.5985006920354,444.4299471877878,1.2455752212389382,1.0,0.631884833121511,Persistent,0.168221,SHIVAJINAGAR,485.8164026056056,423.3333333333333,452.0,April-2024-proxy (last observed window)
23,CELL_2599_15533,12.99619110107414,77.66841120666122,428.3281020260257,2.975374732334047,1.0,0.7661807707402277,Persistent,0.167698,MAHADEVAPURA,511.140510130128,372.0,467.0,April-2024-proxy (last observed window)
24,CELL_2601_15514,13.007456024310777,77.57104248471178,423.0528007450262,1.0238095238095235,1.0,0.7224092765888197,Persistent,0.15941,MALLESHWARAM,401.7640037251312,446.0,399.0,April-2024-proxy (last observed window)
25,CELL_2600_15535,13.000438515437454,77.67714695214083,405.572949221128,2.0408878504672896,1.0,0.583159354836192,Persistent,0.15592,MAHADEVAPURA,416.6980794389732,387.6666666666667,428.0,April-2024-proxy (last observed window)
26,CELL_2587_15539,12.93948559657898,77.69611288064148,420.7411738652423,2.773560209424084,1.0,0.4410645545697954,Volatile,0.136736,HAL OLD AIRPORT,434.8725359928781,438.3333333333333,382.0,April-2024-proxy (last observed window)
27,CELL_2593_15514,12.967532527733333,77.57428468719999,337.868866451988,1.2,1.0,0.6701851880965265,Persistent,0.127708,CHAMARAJPET,256.8443322599402,348.0,375.0,April-2024-proxy (last observed window)
28,CELL_2591_15515,12.95867816735294,77.57688294382353,337.8133413642786,1.0382352941176471,1.0,0.7109003326867277,Persistent,0.127276,CITY MARKET,185.73337348805964,397.3333333333333,340.0,April-2024-proxy (last observed window)
29,CELL_2595_15521,12.979575086984129,77.60728220666667,333.6070036388776,1.061904761904762,1.0,0.6715304505772883,Persistent,0.125747,SHIVAJINAGAR,280.5350181943879,366.0,315.0,April-2024-proxy (last observed window)
30,CELL_2595_15516,12.977516435314683,77.58084869930069,328.1195132171564,1.068181818181818,1.0,0.605374895344042,Persistent,0.12369,UPPARPET,236.59756608578192,390.0,286.0,April-2024-proxy (last observed window)
31,CELL_2601_15538,13.008386913348964,77.69401675681266,308.5213013950282,1.6505376344086022,1.0,0.6997942540361801,Persistent,0.117639,K.R. PURA,298.7731736418078,274.3333333333333,372.0,April-2024-proxy (last observed window)
32,CELL_2599_15514,12.99837342491228,77.57143470070176,299.52544297505705,1.0175438596491229,1.0,0.7452084254110505,Persistent,0.112775,MALLESHWARAM,192.6272148752853,351.0,285.0,April-2024-proxy (last observed window)
33,CELL_2598_15510,12.99289709932886,77.55321315838925,294.3142906308357,1.0436241610738255,1.0,0.5826108289052359,Persistent,0.110866,RAJAJINAGAR,203.7381198208452,328.3333333333333,298.0,April-2024-proxy (last observed window)
34,CELL_2600_15510,13.001788483075837,77.55067553877642,264.219232873445,1.0040816326530613,1.0,0.6857542896385603,Persistent,0.099424,MALLESHWARAM,160.26283103389173,317.3333333333333,245.0,April-2024-proxy (last observed window)
35,CELL_2599_15522,12.996906692924528,77.6131779221698,254.08363385652444,1.1108490566037736,1.0,0.5106544856929812,Persistent,0.095804,PULIKESHINAGAR(F.TOWN),210.7515026159555,296.6666666666667,212.0,April-2024-proxy (last observed window)
36,CELL_2568_15529,12.84173203713355,77.64680106840392,252.5111122370211,1.01628664495114,1.0,0.599968043643202,Persistent,0.09503,ELECTRONIC CITY,200.3888945184389,240.66666666666663,307.0,April-2024-proxy (last observed window)
37,CELL_2588_15514,12.94323030235294,77.57131893215687,300.45105942954774,1.1137254901960785,1.0,0.4457568745062444,Volatile,0.094451,BASAVANAGUDI,213.0886304810717,362.6666666666667,255.0,April-2024-proxy (last observed window)
38,CELL_2590_15508,12.952999495434115,77.54194846645234,247.5117240736904,1.5465587044534412,1.0,0.60042305531568,Persistent,0.094131,BYATARAYANAPURA,121.22528703511873,298.3333333333333,247.0,April-2024-proxy (last observed window)
39,CELL_2637_15536,13.187320170881224,77.68040907586207,249.42409693519315,1.0766283524904214,1.0,0.5137606570439361,Persistent,0.093978,CHIKKAJALA,140.62048467596568,286.0,261.0,April-2024-proxy (last observed window)
40,CELL_2597_15510,12.98747661304761,77.55265809416206,246.8714156072768,1.411483253588517,1.0,0.6264212645876859,Persistent,0.093636,RAJAJINAGAR,218.35707803638388,281.0,209.0,April-2024-proxy (last observed window)
41,CELL_2585_15535,12.926566110270269,77.67793705837838,247.7993891897674,1.0864864864864865,1.0,0.5452418051135168,Persistent,0.093383,BELLANDUR,153.16361261550367,323.3333333333333,185.0,April-2024-proxy (last observed window)
42,CELL_2593_15507,12.96727188047467,77.53671446044065,243.08274992649612,1.251207729468599,1.0,0.6468923369888788,Persistent,0.091902,VIJAYANAGARA,125.7470829658142,311.6666666666667,207.0,April-2024-proxy (last observed window)
43,CELL_2591_15540,12.957448576884422,77.70168362613066,232.6183009934624,1.1984924623115578,1.0,0.6266407107530683,Persistent,0.087842,HAL OLD AIRPORT,146.2581716339785,287.3333333333333,199.0,April-2024-proxy (last observed window)
44,CELL_2587_15538,12.93592184499263,77.69155177939967,224.43591255399852,1.635,1.0,0.6494759276178761,Persistent,0.08548,HAL OLD AIRPORT,156.34622943665957,266.3333333333333,200.0,April-2024-proxy (last observed window)
45,CELL_2598_15532,12.993635866081698,77.66292462479798,267.0599799847247,1.009433962264151,1.0,0.425461745832054,Volatile,0.083756,BANASWADI,303.2998999236236,222.0,318.0,April-2024-proxy (last observed window)
46,CELL_2601_15509,13.007962984738956,77.54860816024096,221.1172758917532,1.2088353413654618,1.0,0.6265086368879091,Persistent,0.083504,RAJAJINAGAR,173.75304612543266,223.3333333333333,249.0,April-2024-proxy (last observed window)
47,CELL_2598_15514,12.991600403543307,77.57247231929134,221.2738100493366,1.1062992125984252,1.0,0.7930485654449622,Persistent,0.083392,SHESHADRIPURAM,132.0357169133495,237.3333333333333,254.0,April-2024-proxy (last observed window)
48,CELL_2596_15514,12.98040488992248,77.5744258511628,210.5792176070014,1.1395348837209305,1.0,0.6958116550810478,Persistent,0.079402,UPPARPET,216.72942136834035,179.66666666666666,258.0,April-2024-proxy (last observed window)
49,CELL_2598_15517,12.993432524852071,77.58896158106509,252.79961505796533,1.0059171597633136,1.0,0.1237498725032566,Volatile,0.079266,HIGH GROUND,178.83140862316014,332.6666666666667,169.0,April-2024-proxy (last observed window)
50,CELL_2592_15543,12.963920829530204,77.71741470067114,250.8255153882639,1.0268456375838926,1.0,0.0,Volatile,0.078678,HAL OLD AIRPORT,146.46091027465283,353.6666666666667,149.0,April-2024-proxy (last observed window)
51,CELL_2587_15523,12.936369216182571,77.61644822406639,193.6622351838624,1.545643153526971,1.0,0.7004526229267803,Persistent,0.073593,ADUGODI,152.64450925264538,181.66666666666663,241.0,April-2024-proxy (last observed window)
52,CELL_2581_15520,12.908189314920634,77.6008828879365,231.8435459451325,1.042857142857143,1.0,0.0300102551378803,Volatile,0.072731,MICO LAYOUT,272.55106305899574,165.66666666666666,315.0,April-2024-proxy (last observed window)
53,CELL_2597_15507,12.98824197216981,77.53761501509433,183.7466572811952,1.5636792452830188,1.0,0.6687420542614207,Persistent,0.069837,VIJAYANAGARA,142.39995307264286,183.3333333333333,212.0,April-2024-proxy (last observed window)
54,CELL_2597_15514,12.98816601826923,77.57366785096154,179.75888532423207,1.0408653846153846,1.0,0.6296269001563314,Persistent,0.067609,SHESHADRIPURAM,153.461093287827,173.33333333333334,208.0,April-2024-proxy (last observed window)
55,CELL_2609_15515,13.047509024489797,77.57587364040816,213.35002326876088,1.0510204081632653,1.0,0.0270981288925215,Volatile,0.066923,KODIGEHALLI,248.41678301047097,180.3333333333333,245.0,April-2024-proxy (last observed window)
56,CELL_2595_15512,12.975785269226252,77.56133194823231,177.14305243569217,1.04337899543379,1.0,0.7981406430209389,Persistent,0.066625,MAGADI ROAD,148.04859551179413,163.66666666666666,219.0,April-2024-proxy (last observed window)
57,CELL_2594_15531,12.971689423312885,77.65809814539877,203.95728616242005,1.1993865030674846,1.0,0.2721835195872478,Volatile,0.064157,JEEVANBHEEMANAGAR,141.95309747876692,253.3333333333333,163.0,April-2024-proxy (last observed window)
58,CELL_2578_15527,12.89284214487107,77.63755882662275,166.53154566931977,1.1683417085427137,1.0,0.7851392597646485,Persistent,0.062775,HULIMAVU,116.65772834659882,167.0,199.0,April-2024-proxy (last observed window)
59,CELL_2595_15511,12.975742545622754,77.55857453848503,164.68980008520583,1.085164835164835,1.0,0.5481160869375311,Persistent,0.061975,MAGADI ROAD,168.78233375936242,152.66666666666666,182.0,April-2024-proxy (last observed window)
60,CELL_2591_15529,12.95907106250728,77.64711474782608,162.96281186264082,1.1956521739130437,1.0,0.6272884930408796,Persistent,0.061458,JEEVANBHEEMANAGAR,144.98072597987075,171.33333333333334,161.0,April-2024-proxy (last observed window)
61,CELL_2592_15514,12.963825336220472,77.57345427086615,159.88779259839953,1.3070866141732282,1.0,0.5693271386302496,Persistent,0.060427,CITY MARKET,146.43896299199767,185.0,127.0,April-2024-proxy (last observed window)
62,CELL_2594_15523,12.9727042725094,77.61716614542225,158.82929578376934,1.5172413793103448,1.0,0.7111638869607548,Persistent,0.060276,HALASUR,118.97981225218008,165.66666666666666,174.0,April-2024-proxy (last observed window)
63,CELL_2605_15514,13.028346583233532,77.57256341137725,158.0938923158645,1.3502994011976048,1.0,0.6375162025452893,Persistent,0.059797,SADASHIVANAGAR,135.80279491265586,161.66666666666666,167.0,April-2024-proxy (last observed window)
64,CELL_2585_15516,12.928626779475982,77.58155141222707,190.22852698350144,1.0524017467248907,1.0,0.4821073098218014,Volatile,0.059649,JAYANAGARA,153.47596825084054,181.66666666666663,229.0,April-2024-proxy (last observed window)
65,CELL_2594_15521,12.973186360294118,77.60696920147059,156.58718318606714,1.1323529411764706,1.0,0.5586688689410018,Persistent,0.058969,ASHOK NAGAR,126.76924926366912,221.66666666666663,68.0,April-2024-proxy (last observed window)
66,CELL_2599_15513,12.998431129746836,77.5691183164557,154.79285733111908,1.0316455696202531,1.0,0.5918477792610732,Persistent,0.058173,MALLESHWARAM,100.29761998892876,174.66666666666666,158.0,April-2024-proxy (last observed window)
67,CELL_2600_15514,13.001660532620322,77.57131472834224,154.5073028793247,1.0588235294117647,1.0,0.6158187456782778,Persistent,0.058096,MALLESHWARAM,112.03651439662356,152.0,187.0,April-2024-proxy (last observed window)
68,CELL_2589_15539,12.94949636895311,77.69953298729361,148.80285992721448,2.660377358490566,1.0,0.737764139527699,Persistent,0.057732,HAL OLD AIRPORT,141.34763296940577,145.66666666666666,159.0,April-2024-proxy (last observed window)
69,CELL_2596_15509,12.982453199285716,77.54889756285715,182.3421988024376,1.042857142857143,1.0,0.2173477465356713,Volatile,0.057156,MAGADI ROAD,166.7109940121878,130.0,280.0,April-2024-proxy (last observed window)
70,CELL_2593_15516,12.966335118691587,77.58318787663552,144.80137011739873,1.088785046728972,1.0,0.5553513164947099,Persistent,0.054463,HALASURU GATE,126.84018392032702,174.66666666666666,107.0,April-2024-proxy (last observed window)
71,CELL_2587_15516,12.93912898219697,77.58395649583333,172.96773466724173,1.018939393939394,1.0,0.0139970608977033,Volatile,0.054181,WILSON GARDEN,190.5053400028753,111.33333333333331,264.0,April-2024-proxy (last observed window)
72,CELL_2599_15539,12.995395294481945,77.69631953541804,166.951851301372,2.5522388059701493,1.0,0.445556522408796,Volatile,0.053892,MAHADEVAPURA,138.25925650685983,158.0,201.0,April-2024-proxy (last observed window)
73,CELL_2594_15522,12.972883367857142,77.61363470535714,138.31078359454324,1.0535714285714286,1.0,0.6237369645980364,Persistent,0.051974,HALASUR,131.88725130604945,156.66666666666666,112.0,April-2024-proxy (last observed window)
74,CELL_2585_15536,12.928134362655143,77.68163623267853,164.02629313631948,1.5070921985815602,1.0,0.3013475828425125,Volatile,0.05187,BELLANDUR,154.46479901493078,181.66666666666663,141.0,April-2024-proxy (last observed window)
75,CELL_2599_15508,12.998441313380283,77.54179816056337,163.62304065541628,1.0704225352112675,1.0,0.3835128609942063,Volatile,0.051295,VIJAYANAGARA,144.281869943748,184.3333333333333,142.0,April-2024-proxy (last observed window)
76,CELL_2594_15542,12.971281993382354,77.7120890264706,161.61453332165058,1.4264705882352942,1.0,0.2283275445791319,Volatile,0.051023,HAL OLD AIRPORT,109.07266660825292,198.0,136.0,April-2024-proxy (last observed window)
77,CELL_2600_15509,13.000738970491804,77.54969049945356,135.44896888235985,1.0,1.0,0.5004972983254534,Persistent,0.050839,MALLESHWARAM,123.57817774513248,111.66666666666669,183.0,April-2024-proxy (last observed window)
78,CELL_2582_15527,12.912331713861386,77.63666206732674,162.28662996842274,1.00990099009901,1.0,0.341638192314361,Volatile,0.050812,HSR LAYOUT,115.766483175447,217.66666666666663,101.0,April-2024-proxy (last observed window)
79,CELL_2594_15516,12.97288049327731,77.5811688840336,134.67726502921067,1.226890756302521,1.0,0.6590685223416499,Persistent,0.050777,UPPARPET,118.2196584793867,150.66666666666666,119.0,April-2024-proxy (last observed window)
80,CELL_2601_15511,13.008091263636365,77.55590213846153,161.99773182956363,1.006993006993007,1.0,0.4268096137103212,Volatile,0.050719,MALLESHWARAM,152.1553258144849,177.33333333333334,143.0,April-2024-proxy (last observed window)
81,CELL_2581_15525,12.90681230687796,77.6289716324656,131.3372712538241,1.6428571428571428,1.0,0.5480893784424368,Persistent,0.049921,HSR LAYOUT,94.85302293578712,153.33333333333334,119.0,April-2024-proxy (last observed window)
82,CELL_2594_15508,12.974137739252336,77.54407874953272,159.06550221896416,1.0841121495327102,1.0,0.4625377681224719,Volatile,0.049874,VIJAYANAGARA,108.99417776148734,210.3333333333333,107.0,April-2024-proxy (last observed window)
83,CELL_2595_15509,12.97683586793893,77.5463929648855,130.7913521570852,1.0610687022900764,1.0,0.6365051447726398,Persistent,0.049142,VIJAYANAGARA,121.62342745209256,134.33333333333334,131.0,April-2024-proxy (last observed window)
84,CELL_2596_15515,12.982441915625,77.57743037421875,128.15020479008868,1.078125,1.0,0.6755807931171223,Persistent,0.04816,HIGH GROUND,111.25102395044333,135.0,128.0,April-2024-proxy (last observed window)
85,CELL_2592_15519,12.961910104651162,77.59894113178295,153.21535867035618,1.0387596899224807,1.0,0.4375923509347975,Volatile,0.047988,ASHOK NAGAR,138.41012668511422,173.66666666666666,129.0,April-2024-proxy (last observed window)
86,CELL_2593_15517,12.96773364931511,77.5880840191369,125.14388541799568,1.0363636363636364,1.0,0.7706342438993183,Persistent,0.046985,HALASURU GATE,95.71942708997835,146.0,110.0,April-2024-proxy (last observed window)
87,CELL_2568_15528,12.842059838235295,77.64433972132352,122.02267736898406,1.0514705882352942,1.0,0.6425973050038198,Persistent,0.045821,ELECTRONIC CITY,92.78005351158698,125.33333333333331,136.0,April-2024-proxy (last observed window)
88,CELL_2594_15507,12.972108213632444,77.53771113556719,145.22660922618994,1.030864197530864,1.0,0.3891894836934499,Volatile,0.045467,VIJAYANAGARA,133.13304613094974,140.0,162.0,April-2024-proxy (last observed window)
89,CELL_2594_15524,12.97347199263158,77.62154244421053,119.48840298144998,1.0263157894736843,1.0,0.6939802721218595,Persistent,0.044841,HALASUR,84.94201490724993,148.0,95.0,April-2024-proxy (last observed window)
90,CELL_2590_15539,12.950833070347109,77.69980427717428,114.77134047383969,2.763392857142857,1.0,0.6261788444601017,Persistent,0.044556,HAL OLD AIRPORT,100.023369035865,122.33333333333331,112.0,April-2024-proxy (last observed window)
91,CELL_2596_15511,12.98132734242809,77.55800065583249,117.13655276507151,1.2790697674418603,1.0,0.688560956925617,Persistent,0.044176,MAGADI ROAD,102.1827638253576,116.0,129.0,April-2024-proxy (last observed window)
92,CELL_2601_15537,13.005876396,77.686139747,140.10113263232358,1.18,1.0,0.2525183318216296,Volatile,0.043986,K.R. PURA,133.83899649495137,166.66666666666666,100.0,April-2024-proxy (last observed window)
93,CELL_2599_15516,12.997431105442177,77.58305611224489,115.87367866562836,1.2414965986394555,1.0,0.6080816411546915,Persistent,0.043664,SHESHADRIPURAM,94.70172666147512,105.66666666666669,147.0,April-2024-proxy (last observed window)
94,CELL_2603_15511,13.018225980063802,77.5568735390424,135.36423165041052,1.4310344827586208,1.0,0.3333735873361274,Volatile,0.042704,YESHWANTHPURA,134.98782491871933,112.33333333333331,174.0,April-2024-proxy (last observed window)
95,CELL_2591_15503,12.957132331111112,77.51860903703704,111.22884546289576,1.5962962962962963,1.0,0.6033540589950948,Persistent,0.042199,BYATARAYANAPURA,77.81089398114544,110.33333333333331,135.0,April-2024-proxy (last observed window)
96,CELL_2590_15543,12.951371877396694,77.71748590250091,129.54404051310104,3.031073446327684,1.0,0.2339156895399505,Volatile,0.042155,WHITEFIELD,118.05353589883843,105.66666666666669,177.0,April-2024-proxy (last observed window)
97,CELL_2601_15513,13.005840286597936,77.56863917319588,134.70172500336236,1.0206185567010309,1.0,0.4826313321929261,Volatile,0.042148,MALLESHWARAM,108.84195835014508,167.66666666666666,97.0,April-2024-proxy (last observed window)
98,CELL_2619_15519,13.097183283143204,77.59949064674849,134.3669119749442,1.0714285714285714,1.0,0.3460279130344238,Volatile,0.042085,YELAHANKA,116.00122654138768,117.33333333333331,175.0,April-2024-proxy (last observed window)
99,CELL_2594_15519,12.9715233852071,77.59761876804734,131.96028014335457,1.2100591715976332,1.0,0.4654647187016909,Volatile,0.041442,CUBBON PARK,95.46806738343948,124.33333333333331,169.0,April-2024-proxy (last observed window)
100,CELL_2591_15517,12.956891089908256,77.5861763706422,109.36392415656267,1.0229357798165135,1.0,0.8032715373145379,Persistent,0.041017,WILSON GARDEN,88.3196207828134,118.0,109.0,April-2024-proxy (last observed window)
101,CELL_2586_15526,12.932359226865673,77.6317698858209,128.68217806205263,1.7201492537313432,1.0,0.0,Volatile,0.040818,ADUGODI,109.07755697692971,133.33333333333334,134.0,April-2024-proxy (last observed window)
102,CELL_2599_15512,12.996411542857144,77.56311455612244,108.34341390383273,1.020408163265306,1.0,0.7622732169512074,Persistent,0.04063,SHESHADRIPURAM,112.21706951916352,113.0,98.0,April-2024-proxy (last observed window)
103,CELL_2592_15507,12.964813296969698,77.53893614545454,127.4013828753196,1.0303030303030305,1.0,0.2708072926214887,Volatile,0.03986,VIJAYANAGARA,57.50691437659804,212.0,33.0,April-2024-proxy (last observed window)
104,CELL_2599_15538,12.995975354003727,77.69434991855002,120.877248141708,2.393162393162393,1.0,0.3821082147029309,Volatile,0.038837,MAHADEVAPURA,100.55290737520656,131.33333333333334,117.0,April-2024-proxy (last observed window)
105,CELL_2591_15543,12.958040841836736,77.71613270510204,120.22569050498818,1.4387755102040816,1.0,0.3779183160664989,Volatile,0.03791,HAL OLD AIRPORT,101.62845252494088,141.0,98.0,April-2024-proxy (last observed window)
106,CELL_2638_15529,13.1910879125,77.64602871704545,115.89548164159478,2.1420454545454546,1.0,0.0288340171988704,Volatile,0.037046,CHIKKAJALA,90.81074154130732,142.66666666666666,88.0,April-2024-proxy (last observed window)
107,CELL_2637_15535,13.18585163173077,77.679861975,113.92091144607612,1.5480769230769231,1.0,0.4703971930481351,Volatile,0.035988,CHIKKAJALA,97.77122389704726,126.33333333333331,104.0,April-2024-proxy (last observed window)
108,CELL_2592_15510,12.964259594791663,77.55273395729166,93.91847820888988,1.6041666666666667,1.0,0.5225938137532499,Persistent,0.035597,MAGADI ROAD,78.92572437778277,98.66666666666669,96.0,April-2024-proxy (last observed window)
109,CELL_2586_15516,12.931783001639346,77.58339286885247,93.427986130088,1.098360655737705,1.0,0.6134433800745831,Persistent,0.035055,JAYANAGARA,64.13993065044001,88.0,122.0,April-2024-proxy (last observed window)
110,CELL_2587_15503,12.936053594230769,77.5181332625,89.95908628958631,1.2211538461538465,1.0,0.5556782456484267,Persistent,0.033827,BYATARAYANAPURA,65.4620981145982,91.33333333333331,104.0,April-2024-proxy (last observed window)
111,CELL_2594_15529,12.970863171449343,77.6466258823962,106.04985962005892,1.8,1.0,0.3918506370546424,Volatile,0.033653,JEEVANBHEEMANAGAR,78.58263143362792,120.66666666666669,100.0,April-2024-proxy (last observed window)
112,CELL_2583_15514,12.916853741068536,77.57324956111164,88.70742433764048,1.1933962264150944,1.0,0.5763606023425263,Persistent,0.033334,JAYANAGARA,97.87045502153576,74.66666666666667,106.0,April-2024-proxy (last observed window)
113,CELL_2606_15507,13.030787372856718,77.5360387108134,84.58530563049074,2.8846153846153846,1.0,0.5564429737896511,Persistent,0.032844,YESHWANTHPURA,72.59319481912037,93.33333333333331,78.0,April-2024-proxy (last observed window)
114,CELL_2585_15517,12.927793571910112,77.5859653505618,86.08025679131958,1.3595505617977528,1.0,0.7692013934653831,Persistent,0.032446,JAYANAGARA,76.90128395659794,88.0,89.0,April-2024-proxy (last observed window)
115,CELL_2579_15535,12.896499899999998,77.6757094755102,86.13371740217642,1.010204081632653,1.0,0.7587753140484457,Persistent,0.032241,BELLANDUR,82.00192034421536,80.66666666666667,98.0,April-2024-proxy (last observed window)
116,CELL_2575_15519,12.876041862222223,77.59608916333333,85.72374423241655,1.0,1.0,0.5124692826312667,Persistent,0.03208,HULIMAVU,68.61872116208275,90.0,90.0,April-2024-proxy (last observed window)
117,CELL_2612_15517,13.063376260416668,77.58745944791666,102.3578695000168,1.15625,1.0,0.4834478481941244,Volatile,0.032063,KODIGEHALLI,89.4560141667506,111.33333333333331,96.0,April-2024-proxy (last observed window)
118,CELL_2592_15528,12.961088203607638,77.64300494966193,83.3607076491821,1.3870967741935485,1.0,0.5009400271521738,Persistent,0.03143,JEEVANBHEEMANAGAR,62.13687157924386,104.66666666666669,62.0,April-2024-proxy (last observed window)
119,CELL_2593_15528,12.968840956150926,77.64138238150866,99.42524290956194,1.1104651162790695,1.0,0.4752022539491864,Volatile,0.031109,JEEVANBHEEMANAGAR,64.79288121447635,121.33333333333331,86.0,April-2024-proxy (last observed window)
120,CELL_2600_15522,13.000344656923078,77.61126191076923,81.27261914762201,2.069230769230769,1.0,0.5162007221566344,Persistent,0.031051,PULIKESHINAGAR(F.TOWN),72.19642907144335,94.66666666666669,65.0,April-2024-proxy (last observed window)
121,CELL_2597_15511,12.98700075376344,77.55623868709678,96.83092766562464,1.1129032258064515,1.0,0.3596633531315087,Volatile,0.030294,RAJAJINAGAR,69.65463832812314,110.0,93.0,April-2024-proxy (last observed window)
122,CELL_2597_15519,12.988870414545454,77.59899249818183,80.51979906510888,1.181818181818182,1.0,0.6666234119542821,Persistent,0.030227,SHIVAJINAGAR,95.93232865887772,89.66666666666667,55.0,April-2024-proxy (last observed window)
123,CELL_2597_15521,12.986494435106383,77.60727411382979,79.62762342172633,1.175531914893617,1.0,0.6169635510218583,Persistent,0.029885,SHIVAJINAGAR,72.971450441965,73.66666666666667,94.0,April-2024-proxy (last observed window)
