junction_name,total_cases,n_approved,n_rejected,n_unresolved,avg_response_min,median_response_min,avg_closure_min,avg_validation_min,n_negative_response,approval_rate,rejection_rate,unresolved_rate
"BTP182 - 19th Main Junction, Rajajinagar",1390,574,220,596,,,,6095.095522787427,0,41.29,15.83,42.88
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",1208,466,230,512,,,,8067.684040287436,0,38.58,19.04,42.38
BTP008 - Navarang Theatre,1190,469,177,544,,,,6129.044843237808,0,39.41,14.87,45.71
"BTP022 - Marenahalli Junction, Vijayanagar",1157,473,221,463,,,,5993.1820310722605,0,40.88,19.1,40.02
BTP135 - UCO Bank Junction,1112,456,122,534,,,,7448.032798723958,0,41.01,10.97,48.02
"BTP026 - 1st Block Junction, Rajajinagar",1086,629,101,356,,,,5745.11788829183,0,57.92,9.3,32.78
BTP069 - MC Circle,1075,397,308,370,,,,9340.043224638695,0,36.93,28.65,34.42
BTP063 - Siddalingaiah Circle,1060,476,130,454,,,,4394.977402624459,0,44.91,12.26,42.83
BTP074 - Leprosy Hospital Junction,1047,369,208,470,,,,6062.873384079601,0,35.24,19.87,44.89
BTP205 - Modi Hospital Junction,1045,385,182,478,,,,5172.651685928489,0,36.84,17.42,45.74
BTP061 - Bhashyam Circle,1030,351,182,497,,,,4811.738673487654,0,34.08,17.67,48.25
BTP096 - Gali Anjaneya Temple,972,410,205,357,,,,5458.3081468,0,42.18,21.09,36.73
BTP010 - Rajajinagar Entrance,957,402,145,410,,,,5039.561088751472,0,42.01,15.15,42.84
BTP208 - Havanur Circle,812,244,105,463,,,,7532.733197072709,0,30.05,12.93,57.02
BTP172 - Nanjappa Circle,776,380,65,331,,,,5581.687492734083,0,48.97,8.38,42.65
"BTP095 - Satellite Bus Stand, Mysore Road",775,315,272,188,,,,3329.1864794957983,0,40.65,35.1,24.26
BTP028 - Vijayanagar Bus Stand Junction,754,286,153,315,,,,7978.222953624813,0,37.93,20.29,41.78
BTP054 - Shivananda Circle,751,379,88,284,,,,4663.620750587828,0,50.47,11.72,37.82
"BTP148 - 17th Main, Doopanahalli Bus Stop",745,323,107,315,,,,5414.412774659864,0,43.36,14.36,42.28
BTP071 - Prasanna Junction,721,245,137,339,,,,7756.334844041868,0,33.98,19.0,47.02
"BTP206 - Shankara Mutt Circle, Vijayanagar",719,311,107,301,,,,7290.874122182821,0,43.25,14.88,41.86
BTP118 - Basappa Circle,653,290,108,255,,,,5703.1051141607,0,44.41,16.54,39.05
"BTP204 - ESI Hospital, Rajajinagar",638,205,126,307,,,,3959.56869244713,0,32.13,19.75,48.12
"BTP024 - NPS, Vijayanagar",632,176,67,389,,,,2775.259740447155,0,27.85,10.6,61.55
BTP130 - GD Mara Junction,631,84,58,489,,,,13829.282338497653,0,13.31,9.19,77.5
BTP192 - Urvashi Theater,625,296,40,289,,,,7120.92097688324,0,47.36,6.4,46.24
"BTP189 - New Diagonal Road, Jayanagar",602,313,76,213,,,,3596.6586363937136,0,51.99,12.62,35.38
BTP137 - Madiwala Traffic PS Junction,596,207,119,270,,,,7151.603224339431,0,34.73,19.97,45.3
"BTP170 - Dr. Bheem Rao Palace, Chord Road",573,186,85,302,,,,3503.8379220720717,0,32.46,14.83,52.71
"BTP186 - 9th Cross, 4th Main, Jayanagar",546,121,13,412,,,,6062.100370316301,0,22.16,2.38,75.46
"BTP123 - 10th Cross, Wilson Garden",535,103,36,396,,,,5477.684859101655,0,19.25,6.73,74.02
BTP068 - Veeresh Theatre Junction,504,205,50,249,,,,4651.1238072514625,0,40.67,9.92,49.4
"BTP226 - 33rd Cross, 11th Main, Jayanagar",492,181,100,211,,,,5681.638143981481,0,36.79,20.33,42.89
"BTP210 - 50th cross, 12th Main , Rajajinagar",455,185,66,204,,,,4446.567558102767,0,40.66,14.51,44.84
BTP076 - Hudson Circle,455,150,65,240,,,,8320.506220061729,0,32.97,14.29,52.75
BTP215 - Vanivillas Junction,434,174,69,191,,,,4415.584515782312,0,40.09,15.9,44.01
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",425,211,47,167,,,,5552.567074686717,0,49.65,11.06,39.29
BTP017 - Attiguppe Circle,422,111,81,230,,,,4351.916250954861,0,26.3,19.19,54.5
"BTP101 - Blood Bank Circle, KH Road",410,217,40,153,,,,3202.290786289308,0,52.93,9.76,37.32
BTP067 - Jai Muni Rao Circle,409,188,69,152,,,,5147.521223773585,0,45.97,16.87,37.16
BTP018 - Dhobi Ghat Junction,382,171,69,142,,,,3896.730268510929,0,44.76,18.06,37.17
BTP041 - Gopal Gowda Circle,378,121,90,167,,,,3821.395107824726,0,32.01,23.81,44.18
BTP167 - JC Road Junction,372,113,51,208,,,,8536.732979619048,0,30.38,13.71,55.91
BTP140 - Madiwala Check Post,368,155,50,163,,,,5447.011992307692,0,42.12,13.59,44.29
"BTP163 - 16th Main Road, BTM Layout",364,215,58,91,,,,3105.837298965517,0,59.07,15.93,25.0
"BTP115 - Sahasra Hospital, Jayanagar",362,184,74,104,,,,6653.04587771392,0,50.83,20.44,28.73
BTP136 - Hosur-Tavarkere Road Junction,360,180,39,141,,,,2683.8603382743363,0,50.0,10.83,39.17
BTP219 - Canara Bank Junction,358,191,42,125,,,,4751.684928843538,0,53.35,11.73,34.92
BTP218 - Syndicate Bank Junction,351,125,38,188,,,,8013.239635175439,0,35.61,10.83,53.56
"BTP099 - Cash Pharmacy, Residency Road",349,200,37,112,,,,3071.700306882591,0,57.31,10.6,32.09
BTP155 - Katriguppe Junction,339,112,37,190,,,,3219.0658280760626,0,33.04,10.91,56.05
BTP126 - Dairy Circle,334,116,71,147,,,,4478.209218844221,0,34.73,21.26,44.01
BTP109 - Dewan Madhava Rao Junction,309,96,29,184,,,,6378.3474339599,0,31.07,9.39,59.55
"BTP117 - 9th Cross, Kanakapura Road",307,113,66,128,,,,15883.548385543278,0,36.81,21.5,41.69
BTP100 - Richmond Circle,304,184,22,98,,,,3817.5744443381177,0,60.53,7.24,32.24
BTP220 - Puttanna Junction,294,146,35,113,,,,5762.008054144621,0,49.66,11.9,38.44
"BTP188 - 27th Cross, 4th Main, Jayanagar",294,60,38,196,,,,3431.4056917525777,0,20.41,12.93,66.67
BTP225 - Geetha Junction,287,127,31,129,,,,3926.730726515151,0,44.25,10.8,44.95
"BTP197 - 9th Cross, 24th Main, JP Nagar",284,113,82,89,,,,4197.319292431973,0,39.79,28.87,31.34
BTP091 - Sirsi Circle,263,71,29,163,,,,5434.853719512195,0,27.0,11.03,61.98
BTP009 - Prakash Nagar Junction,262,150,84,28,,,,4532.354693660968,0,57.25,32.06,10.69
BTP180 - Swagath Poornima Theatre,261,116,22,123,,,,3643.3575713615023,0,44.44,8.43,47.13
BTP214 - 5th Main Chamrajpet  Junction,252,96,81,75,,,,8830.929005402932,0,38.1,32.14,29.76
BTP078 - NR Square Junction,244,78,39,127,,,,6905.847011707989,0,31.97,15.98,52.05
BTP120 - Lalbagh Main Gate Junction,244,71,80,93,,,,2420.1834574642126,0,29.1,32.79,38.11
BTP037 - KR Circle,239,101,42,96,,,,4465.799294405594,0,42.26,17.57,40.17
BTP034 - LRDE Junction,217,122,25,70,,,,4444.906483666667,0,56.22,11.52,32.26
BTP184 - Lalbagh West Gate,215,90,17,108,,,,4803.973229510703,0,41.86,7.91,50.23
BTP207 - 8th Main Road Basaveshwara Nagar,213,50,12,151,,,,21257.36234863388,0,23.47,5.63,70.89
"BTP033 - Sophia High School, Sankey Road",208,138,47,23,,,,2902.821752228164,0,66.35,22.6,11.06
BTP098 - Nayandahalli Junction,206,85,47,74,,,,6996.095920398009,0,41.26,22.82,35.92
BTP047 - Vidhan Soudha Metro Station,200,101,11,88,,,,3394.1104836283184,0,50.5,5.5,44.0
BTP119 - Minerva Circle,199,84,30,85,,,,5758.762598459384,0,42.21,15.08,42.71
BTP052 - CID Carlton House Junction,198,116,19,63,,,,2334.1339358024693,0,58.59,9.6,31.82
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",196,85,35,76,,,,4091.731982682292,0,43.37,17.86,38.78
BTP075 - Police Corner,188,103,36,49,,,,3513.6210326241135,0,54.79,19.15,26.06
BTP105 - Shivasankara Circle,186,53,8,125,,,,11292.018539617487,0,28.49,4.3,67.2
"BTP177 - Aurobindo Circle, ORR",186,80,17,89,,,,13857.313378571429,0,43.01,9.14,47.85
"BTP145 - Sri Hatti Maramma Circle, Domluru",175,87,15,73,,,,3173.52988047619,0,49.71,8.57,41.71
"BTP102 - BMTC Junction, KH Road",175,87,35,53,,,,3412.2360882513663,0,49.71,20.0,30.29
BTP216 - Yediyur Junction,172,53,14,105,,,,5841.227579104478,0,30.81,8.14,61.05
BTP085 - Briyand Circle,166,59,27,80,,,,8088.116597619047,0,35.54,16.27,48.19
BTP079 - Town Hall Junction,162,57,37,68,,,,5977.505146864686,0,35.19,22.84,41.98
BTP106 - VV Puram College,159,32,18,109,,,,22409.854997435898,0,20.13,11.32,68.55
BTP132 - Anepalya Junction,158,70,11,77,,,,8594.668495125787,0,44.3,6.96,48.73
BTP173 - TMC,152,74,19,59,,,,4734.351771405229,0,48.68,12.5,38.82
BTP122 - Siddapura Junction,146,70,16,60,,,,4724.191855555556,0,47.95,10.96,41.1
BTP146 - Domlur Water Tank,146,66,24,56,,,,2756.3952041218636,0,45.21,16.44,38.36
"BTP190 - 36th Cross, 4th Main, Jayanagar",145,50,27,68,,,,4675.591823290599,0,34.48,18.62,46.9
BTP103 - Shanti Nagar TTMC,144,61,24,59,,,,6029.8197549019615,0,42.36,16.67,40.97
"BTP202 - East End Main Road, Jayanagar",142,43,26,73,,,,5402.013962459547,0,30.28,18.31,51.41
BTP196 - Sarakki Main Road,138,56,68,14,,,,2000.34983172043,0,40.58,49.28,10.14
"BTP168 - MSR Building, JC Road",132,48,9,75,,,,9517.764779824562,0,36.36,6.82,56.82
BTP203 - RRMR Junction,130,34,9,87,,,,7684.105854263566,0,26.15,6.92,66.92
"BTP113 - 27th Cross, Pai Vista, KR Road",128,69,17,42,,,,6430.065987596899,0,53.91,13.28,32.81
BTP166 - Coffee Board Junction,121,58,7,56,,,,7091.81995410628,0,47.93,5.79,46.28
"BTP221 - 15th Cross, 24th Main, JP Nagar",116,57,21,38,,,,5589.92953699187,0,49.14,18.1,32.76
BTP171 - Indian Express (Balekundri),114,41,15,58,,,,14928.384263978496,0,35.96,13.16,50.88
BTP193 - Vasavi Circle,113,48,10,55,,,,14067.058572316384,0,42.48,8.85,48.67
"BTP094 - Sri Skanda Complex, Mysore Road",112,33,25,54,,,,4331.178293859649,0,29.46,22.32,48.21
"BTP179 - 9th Block, 28th Main, Jayanagar",110,39,30,41,,,,2032.4336003623189,0,35.45,27.27,37.27
BTP121 - KH Circle,107,53,32,22,,,,2837.7104715686273,0,49.53,29.91,20.56
"BTP191 - 40th Cross, 4th Main, Jayanagar",105,41,14,50,,,,9634.334922619048,0,39.05,13.33,47.62
BTP064 - Devanga Hostel Junction,104,34,7,63,,,,2062.4012264227645,0,32.69,6.73,60.58
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",103,50,22,31,,,,2942.409972685185,0,48.54,21.36,30.1
"BTP159 - JP Nagar Metro, ORR",101,46,20,35,,,,13859.699126616915,0,45.54,19.8,34.65
BTP222 - Delmia Circle,98,51,13,34,,,,5568.508659490741,0,52.04,13.27,34.69
BTP092 - Bangalore Builders Junction,96,35,9,52,,,,7939.191581439393,0,36.46,9.38,54.17
"BTP093 - Toll Gate, Mysore Road",90,17,16,57,,,,7018.9606646464645,0,18.89,17.78,63.33
"BTP089 - Police Quarters, Sultan Road",87,36,7,44,,,,7071.47001627907,0,41.38,8.05,50.57
BTP030 - Mekhri Circle,87,20,17,50,,,,6286.06085462963,0,22.99,19.54,57.47
BTP217 - Baleyele Junction,85,27,1,57,,,,20483.652139655173,0,31.76,1.18,67.06
BTP036 - Police Thimmaiah Circle (GPO),83,37,8,38,,,,3696.7982311594205,0,44.58,9.64,45.78
"BTP127 - Sagar Hospital, Jayanagar",83,19,12,52,,,,7302.58986451613,0,22.89,14.46,62.65
BTP212 - Minto Junction,78,12,8,58,,,,24760.371096666666,0,15.38,10.26,74.36
BTP138 - Sarjapur Road Check Post,75,24,5,46,,,,6718.776839655173,0,32.0,6.67,61.33
BTP133 - Adugodi Junction,73,11,6,56,,,,16083.303924561405,0,15.07,8.22,76.71
BTP107 - National College Junction,73,6,0,67,,,,2215.1745138888887,0,8.22,0.0,91.78
"BTP114 - KR Road Junction, Near JSS",64,17,8,39,,,,2458.684721052631,0,26.56,12.5,60.94
BTP185 - RV Teachers College,57,37,3,17,,,,2782.5865645833333,0,64.91,5.26,29.82
BTP187 - South End Circle,56,16,10,30,,,,3846.9978724358975,0,28.57,17.86,53.57
BTP128 - Gorappanapalya Junction,55,19,3,33,,,,13675.496553030302,0,34.55,5.45,60.0
BTP053 - Three Let Junction,51,35,5,11,,,,3915.4498295833337,0,68.63,9.8,21.57
BTP141 - Palmgroove Junction,50,24,9,17,,,,4941.607813425926,0,48.0,18.0,34.0
BTP134 - Mico Bande,49,21,12,16,,,,4998.216852450981,0,42.86,24.49,32.65
BTP006 - Navarang Bar Junction,47,20,9,18,,,,3859.8887022988506,0,42.55,19.15,38.3
BTP158 - Devegowda Petrol Bunk,45,13,3,29,,,,4945.271314583333,0,28.89,6.67,64.44
"BTP164 - 29th Main Road, BTM Layout",42,1,2,39,,,,2704.4063944444447,0,2.38,4.76,92.86
BTP035 - Basaweshwara Circle (LH) Junction,36,23,4,9,,,,3478.793801851852,0,63.89,11.11,25.0
BTP142 - Lower Agram Road Junction,33,16,12,5,,,,2881.384817857143,0,48.48,36.36,15.15
BTP077 - Halasuru Gate Junction,30,16,6,8,,,,8117.176974242423,0,53.33,20.0,26.67
"BTP200 - 15th Cross, 33rd Main, JP Nagar",28,10,2,16,,,,8048.140827777778,0,35.71,7.14,57.14
"BTP025 - Puttamma Choultry, Nagarbhavi",27,15,7,5,,,,9090.269206666668,0,55.56,25.93,18.52
BTP143 - ASC Junction,24,6,3,15,,,,3748.2740462962956,0,25.0,12.5,62.5
"BTP161 - 15th Cross, 35th Main, JP Nagar",23,11,11,1,,,,9717.772477272727,0,47.83,47.83,4.35
BTP213 - Royan Circle,21,2,2,17,,,,45619.7097625,0,9.52,9.52,80.95
BTP157 - Kadirenahalli Cross,16,3,1,12,,,,2999.3534833333338,0,18.75,6.25,75.0
"BTP198 - 9th Cross, 8th Main, JP Nagar",14,6,7,1,,,,1798.9206115384618,0,42.86,50.0,7.14
BTP156 - Kamakya Junction,13,4,1,8,,,,9717.402577777779,0,30.77,7.69,61.54
BTP154 - Itmadu Junction,12,2,5,5,,,,9293.601976190475,0,16.67,41.67,41.67
"BTP112 - 14th Cross, KR Road",10,6,0,4,,,,1402.7694166666668,0,60.0,0.0,40.0
BTP181 - Bileka Halli Junction,8,6,0,2,,,,18298.027744444444,0,75.0,0.0,25.0
"BTP110 - Bharathi Nursing Home, Basavanagudi",7,0,0,7,,,,,0,0.0,0.0,100.0
"BTP178 - 18th Main, Marenahalli",7,4,0,3,,,,1325.1027958333334,0,57.14,0.0,42.86
BTP144 - Commando Hospital Junction,6,3,2,1,,,,1503.96975,0,50.0,33.33,16.67
