junction_name,total_cases,unique_vehicles,n_approved,n_rejected,avg_response_min,peak_hour_violations,n_recurrent,approval_rate_pct,peak_hour_pct,volume_rank
BTP047 - Vidhan Soudha Metro Station,200,190,101,11,,15,0,50.5,7.5,95
BTP119 - Minerva Circle,199,183,84,30,,23,6,42.21,11.56,96
BTP052 - CID Carlton House Junction,198,186,116,19,,10,13,58.59,5.05,97
"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",196,177,85,35,,14,6,43.37,7.14,98
BTP075 - Police Corner,188,174,103,36,,1,0,54.79,0.53,99
BTP105 - Shivasankara Circle,186,165,53,8,,3,2,28.49,1.61,100
"BTP177 - Aurobindo Circle, ORR",186,171,80,17,,27,5,43.01,14.52,101
"BTP145 - Sri Hatti Maramma Circle, Domluru",175,150,87,15,,14,0,49.71,8.0,102
"BTP102 - BMTC Junction, KH Road",175,168,87,35,,4,0,49.71,2.29,103
BTP216 - Yediyur Junction,172,151,53,14,,5,0,30.81,2.91,104
BTP085 - Briyand Circle,166,153,59,27,,33,0,35.54,19.88,105
BTP079 - Town Hall Junction,162,158,57,37,,13,2,35.19,8.02,106
BTP106 - VV Puram College,159,146,32,18,,45,13,20.13,28.3,107
BTP132 - Anepalya Junction,158,105,70,11,,34,0,44.3,21.52,108
BTP173 - TMC,152,141,74,19,,4,0,48.68,2.63,109
BTP122 - Siddapura Junction,146,116,70,16,,14,2,47.95,9.59,110
BTP146 - Domlur Water Tank,146,138,66,24,,10,0,45.21,6.85,111
"BTP190 - 36th Cross, 4th Main, Jayanagar",145,141,50,27,,1,4,34.48,0.69,112
BTP103 - Shanti Nagar TTMC,144,138,61,24,,1,2,42.36,0.69,113
"BTP202 - East End Main Road, Jayanagar",142,129,43,26,,19,0,30.28,13.38,114
BTP196 - Sarakki Main Road,138,135,56,68,,81,2,40.58,58.7,115
"BTP168 - MSR Building, JC Road",132,113,48,9,,40,0,36.36,30.3,116
BTP203 - RRMR Junction,130,123,34,9,,46,2,26.15,35.38,117
"BTP113 - 27th Cross, Pai Vista, KR Road",128,119,69,17,,14,2,53.91,10.94,118
BTP166 - Coffee Board Junction,121,111,58,7,,3,6,47.93,2.48,119
"BTP221 - 15th Cross, 24th Main, JP Nagar",116,112,57,21,,17,0,49.14,14.66,120
BTP171 - Indian Express (Balekundri),114,108,41,15,,25,4,35.96,21.93,121
BTP193 - Vasavi Circle,113,102,48,10,,19,2,42.48,16.81,122
"BTP094 - Sri Skanda Complex, Mysore Road",112,103,33,25,,26,4,29.46,23.21,123
"BTP179 - 9th Block, 28th Main, Jayanagar",110,98,39,30,,48,0,35.45,43.64,124
BTP121 - KH Circle,107,106,53,32,,16,0,49.53,14.95,125
"BTP191 - 40th Cross, 4th Main, Jayanagar",105,95,41,14,,19,6,39.05,18.1,126
BTP064 - Devanga Hostel Junction,104,85,34,7,,1,4,32.69,0.96,127
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",103,86,50,22,,13,4,48.54,12.62,128
"BTP159 - JP Nagar Metro, ORR",101,99,46,20,,13,2,45.54,12.87,129
BTP222 - Delmia Circle,98,96,51,13,,6,0,52.04,6.12,130
BTP092 - Bangalore Builders Junction,96,91,35,9,,33,3,36.46,34.38,131
"BTP093 - Toll Gate, Mysore Road",90,83,17,16,,26,4,18.89,28.89,132
"BTP089 - Police Quarters, Sultan Road",87,77,36,7,,27,2,41.38,31.03,133
BTP030 - Mekhri Circle,87,82,20,17,,15,0,22.99,17.24,134
BTP217 - Baleyele Junction,85,83,27,1,,6,2,31.76,7.06,135
BTP036 - Police Thimmaiah Circle (GPO),83,81,37,8,,11,2,44.58,13.25,136
"BTP127 - Sagar Hospital, Jayanagar",83,75,19,12,,11,8,22.89,13.25,137
BTP212 - Minto Junction,78,68,12,8,,10,4,15.38,12.82,138
BTP138 - Sarjapur Road Check Post,75,71,24,5,,23,0,32.0,30.67,139
BTP133 - Adugodi Junction,73,61,11,6,,8,2,15.07,10.96,140
BTP107 - National College Junction,73,62,6,0,,3,2,8.22,4.11,141
