spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2610_15510,8,30,8,30,3.75
CELL_2610_15518,22,82,8,30,3.75
CELL_2610_15526,6,22,8,30,3.75
CELL_2610_15529,2,8,8,30,3.75
CELL_2610_15552,3,11,8,30,3.75
CELL_2611_15493,8,30,8,30,3.75
CELL_2611_15494,10,38,8,30,3.75
CELL_2611_15495,7,26,8,30,3.75
CELL_2611_15496,2,8,8,30,3.75
CELL_2611_15501,6,22,8,30,3.75
CELL_2611_15509,26,98,8,30,3.75
CELL_2611_15510,1,4,8,30,3.75
CELL_2611_15511,3,11,8,30,3.75
CELL_2611_15515,3,11,8,30,3.75
CELL_2611_15518,13,49,8,30,3.75
CELL_2611_15526,11,41,8,30,3.75
CELL_2611_15529,1,4,8,30,3.75
CELL_2611_15530,4,15,8,30,3.75
CELL_2612_15492,9,34,8,30,3.75
CELL_2612_15500,3,11,8,30,3.75
CELL_2612_15501,2,8,8,30,3.75
CELL_2612_15514,1,4,8,30,3.75
CELL_2612_15517,3,11,8,30,3.75
CELL_2612_15518,4,15,8,30,3.75
CELL_2612_15526,1,4,8,30,3.75
CELL_2612_15530,76,285,8,30,3.75
CELL_2613_15517,21,79,8,30,3.75
CELL_2613_15518,57,214,8,30,3.75
CELL_2613_15525,12,45,8,30,3.75
CELL_2614_15500,2,8,8,30,3.75
CELL_2614_15517,337,1264,8,30,3.75
CELL_2614_15518,33,124,8,30,3.75
CELL_2614_15520,6,22,8,30,3.75
CELL_2614_15521,5,19,8,30,3.75
CELL_2614_15526,2,8,8,30,3.75
CELL_2616_15509,4,15,8,30,3.75
CELL_2616_15526,1,4,8,30,3.75
CELL_2617_15527,1,4,8,30,3.75
CELL_2618_15518,7,26,8,30,3.75
CELL_2618_15519,1,4,8,30,3.75
CELL_2619_15515,2,8,8,30,3.75
CELL_2619_15516,5,19,8,30,3.75
CELL_2619_15517,3,11,8,30,3.75
CELL_2619_15519,40,150,8,30,3.75
CELL_2619_15520,1,4,8,30,3.75
CELL_2624_15522,11,41,8,30,3.75
CELL_2624_15526,3,11,8,30,3.75
CELL_2627_15523,1,4,8,30,3.75
CELL_2628_15523,2,8,8,30,3.75
CELL_2636_15535,82,308,8,30,3.75
CELL_2636_15536,5,19,8,30,3.75
CELL_2637_15535,9,34,8,30,3.75
CELL_2637_15536,22,82,8,30,3.75
CELL_2638_15529,2,8,8,30,3.75
