spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2592_15512,20,75,8,30,3.75
CELL_2592_15513,3,11,8,30,3.75
CELL_2592_15514,38,142,8,30,3.75
CELL_2592_15515,501,1879,8,30,3.75
CELL_2592_15516,199,746,8,30,3.75
CELL_2592_15517,5,19,8,30,3.75
CELL_2592_15519,31,116,8,30,3.75
CELL_2592_15526,1,4,8,30,3.75
CELL_2592_15527,12,45,8,30,3.75
CELL_2592_15528,10,38,8,30,3.75
CELL_2592_15529,9,34,8,30,3.75
CELL_2592_15540,3,11,8,30,3.75
CELL_2592_15543,5,19,8,30,3.75
CELL_2592_15546,1,4,8,30,3.75
CELL_2592_15549,1,4,8,30,3.75
CELL_2593_15502,2,8,8,30,3.75
CELL_2593_15507,42,158,8,30,3.75
CELL_2593_15511,2,8,8,30,3.75
CELL_2593_15513,7,26,8,30,3.75
CELL_2593_15514,51,191,8,30,3.75
CELL_2593_15515,158,592,8,30,3.75
CELL_2593_15516,18,68,8,30,3.75
CELL_2593_15517,39,146,8,30,3.75
CELL_2593_15518,1,4,8,30,3.75
CELL_2593_15519,7,26,8,30,3.75
CELL_2593_15520,1,4,8,30,3.75
CELL_2593_15521,4,15,8,30,3.75
CELL_2593_15523,1,4,8,30,3.75
CELL_2593_15527,2,8,8,30,3.75
CELL_2593_15528,19,71,8,30,3.75
CELL_2593_15529,11,41,8,30,3.75
CELL_2593_15530,2,8,8,30,3.75
CELL_2593_15531,4,15,8,30,3.75
CELL_2593_15540,7,26,8,30,3.75
CELL_2593_15547,4,15,8,30,3.75
CELL_2593_15549,5,19,8,30,3.75
CELL_2594_15499,1,4,8,30,3.75
CELL_2594_15501,5,19,8,30,3.75
CELL_2594_15502,4,15,8,30,3.75
CELL_2594_15507,25,94,8,30,3.75
CELL_2594_15508,24,90,8,30,3.75
CELL_2594_15509,115,431,8,30,3.75
CELL_2594_15510,58,218,8,30,3.75
CELL_2594_15512,7,26,8,30,3.75
CELL_2594_15513,6,22,8,30,3.75
CELL_2594_15514,7,26,8,30,3.75
CELL_2594_15515,293,1099,8,30,3.75
CELL_2594_15516,51,191,8,30,3.75
CELL_2594_15518,6,22,8,30,3.75
CELL_2594_15519,30,112,8,30,3.75
CELL_2594_15520,1,4,8,30,3.75
CELL_2594_15521,41,154,8,30,3.75
CELL_2594_15522,23,86,8,30,3.75
CELL_2594_15523,77,289,8,30,3.75
CELL_2594_15524,34,128,8,30,3.75
CELL_2594_15525,23,86,8,30,3.75
CELL_2594_15526,34,128,8,30,3.75
CELL_2594_15527,4,15,8,30,3.75
CELL_2594_15528,4,15,8,30,3.75
CELL_2594_15529,14,52,8,30,3.75
CELL_2594_15530,11,41,8,30,3.75
CELL_2594_15531,32,120,8,30,3.75
CELL_2594_15534,1,4,8,30,3.75
CELL_2594_15539,1,4,8,30,3.75
CELL_2594_15540,2,8,8,30,3.75
CELL_2594_15542,8,30,8,30,3.75
CELL_2594_15546,1,4,8,30,3.75
CELL_2595_15507,1,4,8,30,3.75
CELL_2595_15508,10,38,8,30,3.75
CELL_2595_15509,34,128,8,30,3.75
CELL_2595_15510,27,101,8,30,3.75
CELL_2595_15511,38,142,8,30,3.75
CELL_2595_15512,43,161,8,30,3.75
CELL_2595_15514,281,1054,8,30,3.75
CELL_2595_15515,1498,5618,8,30,3.75
CELL_2595_15516,89,334,8,30,3.75
CELL_2595_15517,9,34,8,30,3.75
CELL_2595_15518,21,79,8,30,3.75
CELL_2595_15519,2,8,8,30,3.75
CELL_2595_15520,34,128,8,30,3.75
CELL_2595_15521,77,289,8,30,3.75
CELL_2595_15522,10,38,8,30,3.75
CELL_2595_15524,22,82,8,30,3.75
CELL_2595_15525,5,19,8,30,3.75
CELL_2595_15527,3,11,8,30,3.75
CELL_2595_15528,1,4,8,30,3.75
CELL_2595_15538,4,15,8,30,3.75
CELL_2595_15539,17,64,8,30,3.75
CELL_2595_15550,2,8,8,30,3.75
CELL_2596_15505,4,15,8,30,3.75
CELL_2596_15506,1,4,8,30,3.75
CELL_2596_15507,1,4,8,30,3.75
CELL_2596_15509,51,191,8,30,3.75
CELL_2596_15510,34,128,8,30,3.75
CELL_2596_15511,21,79,8,30,3.75
CELL_2596_15512,19,71,8,30,3.75
CELL_2596_15513,1,4,8,30,3.75
CELL_2596_15514,37,139,8,30,3.75
CELL_2596_15515,30,112,8,30,3.75
CELL_2596_15516,1,4,8,30,3.75
CELL_2596_15517,4,15,8,30,3.75
CELL_2596_15519,36,135,8,30,3.75
CELL_2596_15520,119,446,8,30,3.75
CELL_2596_15521,317,1189,8,30,3.75
CELL_2596_15522,718,2692,8,30,3.75
CELL_2596_15526,2,8,8,30,3.75
CELL_2596_15528,5,19,8,30,3.75
CELL_2596_15529,2,8,8,30,3.75
CELL_2596_15535,1,4,8,30,3.75
CELL_2596_15536,1,4,8,30,3.75
CELL_2596_15538,1,4,8,30,3.75
CELL_2596_15541,3,11,8,30,3.75
CELL_2596_15542,1,4,8,30,3.75
CELL_2596_15550,1,4,8,30,3.75
CELL_2597_15494,1,4,8,30,3.75
CELL_2597_15495,1,4,8,30,3.75
CELL_2597_15496,2,8,8,30,3.75
CELL_2597_15500,23,86,8,30,3.75
CELL_2597_15501,10,38,8,30,3.75
CELL_2597_15503,3,11,8,30,3.75
CELL_2597_15504,1,4,8,30,3.75
CELL_2597_15507,47,176,8,30,3.75
CELL_2597_15509,22,82,8,30,3.75
CELL_2597_15510,77,289,8,30,3.75
CELL_2597_15511,86,322,8,30,3.75
CELL_2597_15514,13,49,8,30,3.75
CELL_2597_15515,9,34,8,30,3.75
CELL_2597_15516,3,11,8,30,3.75
CELL_2597_15517,8,30,8,30,3.75
CELL_2597_15518,24,90,8,30,3.75
CELL_2597_15519,44,165,8,30,3.75
CELL_2597_15520,30,112,8,30,3.75
CELL_2597_15521,21,79,8,30,3.75
CELL_2597_15522,3,11,8,30,3.75
CELL_2597_15523,8,30,8,30,3.75
CELL_2597_15533,1,4,8,30,3.75
