patrol_rank,cell_lat,cell_lon,ensemble_score,pred_lgbm,pred_rolling,pred_lag1,count_lag1,rolling_mean_3m,recurrence_rate,n_active_months,persistence_score,patrol_tier
62,,,160.9324860147825,166.06497202956498,173.66666666666666,129.0,129.0,173.66666666666666,1.0,5,1.0,Tier 1 — High
63,,,159.41704939920277,131.63409879840555,173.33333333333334,208.0,208.0,173.33333333333334,1.0,5,1.0,Tier 1 — High
64,,,156.71008396984803,148.02016793969602,181.66666666666666,141.0,141.0,181.66666666666666,1.0,5,1.0,Tier 1 — High
65,,,156.40185493805592,145.4037098761118,184.33333333333334,142.0,142.0,184.33333333333334,1.0,5,1.0,Tier 1 — High
66,,,156.22993864468518,132.65987728937034,167.0,199.0,199.0,167.0,1.0,5,1.0,Tier 1 — High
67,,,152.5459092965553,131.89181859311054,198.0,136.0,136.0,198.0,1.0,5,1.0,Tier 1 — High
68,,,151.74329299612128,134.48658599224254,210.33333333333334,107.0,107.0,210.33333333333334,1.0,5,1.0,Tier 1 — High
69,,,150.1776775420211,138.5553550840422,185.0,127.0,127.0,185.0,1.0,5,1.0,Tier 1 — High
70,,,149.27656331970064,127.5531266394013,217.66666666666666,101.0,101.0,217.66666666666666,1.0,5,1.0,Tier 1 — High
71,,,148.54002365188273,148.28004730376549,140.0,162.0,162.0,140.0,1.0,5,1.0,Tier 1 — High
72,,,148.53413744429326,129.86827488858657,171.33333333333334,161.0,161.0,171.33333333333334,1.0,5,1.0,Tier 1 — High
73,,,146.05777503019294,116.91555006038588,158.0,201.0,201.0,158.0,1.0,5,1.0,Tier 1 — High
74,,,145.71486616476608,151.02973232953218,117.33333333333333,175.0,175.0,117.33333333333333,1.0,5,1.0,Tier 1 — High
75,,,145.651420784006,131.10284156801202,221.66666666666666,68.0,68.0,221.66666666666666,1.0,5,1.0,Tier 1 — High
76,,,145.47917516886997,121.95835033773992,165.66666666666666,174.0,174.0,165.66666666666666,1.0,5,1.0,Tier 1 — High
77,,,142.96440979419586,119.92881958839172,152.0,187.0,187.0,152.0,1.0,5,1.0,Tier 1 — High
78,,,142.80696336346327,151.41392672692652,105.66666666666667,177.0,177.0,105.66666666666667,1.0,5,1.0,Tier 1 — High
79,,,142.52919367508832,137.45838735017665,174.66666666666666,107.0,107.0,174.66666666666666,1.0,5,1.0,Tier 1 — High
80,,,141.29938193370702,143.79876386741407,156.66666666666666,112.0,112.0,156.66666666666666,1.0,5,1.0,Tier 1 — High
81,,,140.43327286841534,117.0665457368307,161.66666666666666,167.0,167.0,161.66666666666666,1.0,5,1.0,Tier 1 — High
82,,,139.24859262303394,140.49718524606786,150.66666666666666,119.0,119.0,150.66666666666666,1.0,5,1.0,Tier 1 — High
83,,,139.23592541208126,138.27185082416253,111.66666666666667,183.0,183.0,111.66666666666667,1.0,5,1.0,Tier 1 — High
84,,,138.7718984151367,140.54379683027338,112.33333333333333,174.0,174.0,112.33333333333333,1.0,5,1.0,Tier 1 — High
85,,,138.53805952380685,126.07611904761367,145.66666666666666,159.0,159.0,145.66666666666666,1.0,5,1.0,Tier 1 — High
86,,,137.22398449574263,134.44796899148525,166.66666666666666,100.0,100.0,166.66666666666666,1.0,5,1.0,Tier 1 — High
87,,,136.91875037610308,105.83750075220614,174.66666666666666,158.0,158.0,174.66666666666666,1.0,5,1.0,Tier 1 — High
88,,,133.8599032572176,128.31980651443524,167.66666666666666,97.0,97.0,167.66666666666666,1.0,5,1.0,Tier 1 — High
89,,,127.91122761908078,122.82245523816152,134.33333333333334,131.0,131.0,134.33333333333334,1.0,5,1.0,Tier 1 — High
90,,,126.89313919499443,111.58627838998888,124.33333333333333,169.0,169.0,124.33333333333333,1.0,5,1.0,Tier 1 — High
91,,,126.79199330516153,121.98398661032306,146.0,110.0,110.0,146.0,1.0,5,1.0,Tier 1 — High
92,,,125.99483208790951,118.38966417581904,133.33333333333334,134.0,134.0,133.33333333333334,1.0,5,1.0,Tier 1 — High
93,,,122.194621407916,103.98924281583203,212.0,33.0,33.0,212.0,1.0,5,1.0,Tier 1 — High
94,,,121.86059214418069,122.92118428836136,142.66666666666666,88.0,88.0,142.66666666666666,1.0,5,1.0,Tier 1 — High
95,,,121.54072381737281,103.48144763474563,153.33333333333334,119.0,119.0,153.33333333333334,1.0,5,1.0,Tier 1 — High
96,,,116.72178094005082,106.64356188010163,148.0,95.0,95.0,148.0,1.0,5,1.0,Tier 1 — High
97,,,116.27242004392198,100.34484008784396,135.0,128.0,128.0,135.0,1.0,5,1.0,Tier 1 — High
98,,,113.03764678897673,102.27529357795348,141.0,98.0,98.0,141.0,1.0,5,1.0,Tier 1 — High
99,,,112.07161039129589,94.54322078259177,125.33333333333333,136.0,136.0,125.33333333333333,1.0,5,1.0,Tier 1 — High
100,,,110.28068000972318,98.36136001944635,105.66666666666667,147.0,147.0,105.66666666666667,1.0,5,1.0,Tier 1 — High
101,,,108.43404044318376,95.66808088636753,116.0,129.0,129.0,116.0,1.0,5,1.0,Tier 1 — High
102,,,107.6440049682569,100.8880099365138,118.0,109.0,109.0,118.0,1.0,5,1.0,Tier 1 — High
103,,,105.21313014492948,92.22626028985896,122.33333333333333,112.0,112.0,122.33333333333333,1.0,5,1.0,Tier 1 — High
104,,,104.97186708580608,89.74373417161219,110.33333333333333,135.0,135.0,110.33333333333333,1.0,5,1.0,Tier 1 — High
105,,,104.94527315854162,102.89054631708328,113.0,98.0,98.0,113.0,1.0,5,1.0,Tier 1 — High
106,,,104.06640042449779,82.53280084899556,131.33333333333334,117.0,117.0,131.33333333333334,1.0,5,1.0,Tier 1 — High
107,,,96.2671152178174,75.13423043563482,126.33333333333333,104.0,104.0,126.33333333333333,1.0,5,1.0,Tier 1 — High
108,,,94.75904977537341,77.11809955074682,120.66666666666667,100.0,100.0,120.66666666666667,1.0,5,1.0,Tier 1 — High
109,,,94.13316883166213,83.06633766332426,111.33333333333333,96.0,96.0,111.33333333333333,1.0,5,1.0,Tier 1 — High
110,,,93.82101957133956,80.44203914267914,121.33333333333333,86.0,86.0,121.33333333333333,1.0,5,1.0,Tier 1 — High
111,,,93.41906508675544,99.2381301735109,80.66666666666667,98.0,98.0,80.66666666666667,1.0,5,1.0,Tier 1 — High
112,,,92.84950043117992,92.89900086235983,110.0,67.0,67.0,110.0,1.0,5,1.0,Tier 1 — High
113,,,91.91132744642465,79.62265489284928,81.66666666666667,138.0,138.0,81.66666666666667,1.0,5,1.0,Tier 1 — High
114,,,89.80489912290929,82.00979824581857,98.66666666666667,96.0,96.0,98.66666666666667,1.0,5,1.0,Tier 1 — High
115,,,89.57420213384596,103.3484042676919,89.66666666666667,55.0,55.0,89.66666666666667,1.0,5,1.0,Tier 1 — High
116,,,89.28456552765628,105.16913105531258,93.66666666666667,43.0,43.0,93.66666666666667,1.0,5,1.0,Tier 1 — High
117,,,88.87606678280666,87.75213356561332,90.0,90.0,90.0,90.0,1.0,5,1.0,Tier 1 — High
118,,,88.4351140294471,78.67022805889422,109.0,82.0,82.0,109.0,1.0,5,1.0,Tier 1 — High
119,,,87.80069571890016,88.40139143780033,100.0,68.0,68.0,100.0,1.0,5,1.0,Tier 1 — High
120,,,87.03386790650146,70.86773581300292,110.0,93.0,93.0,110.0,1.0,5,1.0,Tier 1 — High
121,,,86.57592882062433,87.95185764124864,110.66666666666667,47.0,47.0,110.66666666666667,1.0,5,1.0,Tier 1 — High
122,,,86.05332433035042,82.90664866070084,67.33333333333333,122.0,122.0,67.33333333333333,1.0,5,1.0,Tier 1 — High
123,,,85.362480441435,83.52496088287,93.33333333333333,78.0,78.0,93.33333333333333,1.0,5,1.0,Tier 2 — Medium
124,,,84.59984400187975,86.39968800375948,94.66666666666667,65.0,65.0,94.66666666666667,1.0,5,1.0,Tier 2 — Medium
125,,,83.52312661958989,70.64625323917977,91.33333333333333,104.0,104.0,91.33333333333333,1.0,5,1.0,Tier 2 — Medium
126,,,83.34491485325586,95.68982970651173,86.33333333333333,48.0,48.0,86.33333333333333,1.0,5,1.0,Tier 2 — Medium
127,,,82.47452413583413,77.74904827166824,74.66666666666667,106.0,106.0,74.66666666666667,1.0,5,1.0,Tier 2 — Medium
128,,,82.24902229682633,84.09804459365266,92.0,63.0,63.0,92.0,1.0,5,1.0,Tier 2 — Medium
129,,,81.80113440204329,62.00226880408657,88.0,122.0,122.0,88.0,1.0,5,1.0,Tier 2 — Medium
130,,,80.97748044627872,74.35496089255741,104.66666666666667,62.0,62.0,104.66666666666667,1.0,5,1.0,Tier 2 — Medium
131,,,80.6207244597764,81.04144891955282,78.33333333333333,83.0,83.0,78.33333333333333,1.0,5,1.0,Tier 2 — Medium
132,,,79.84453028532477,71.28906057064953,88.0,89.0,89.0,88.0,1.0,5,1.0,Tier 2 — Medium
133,,,78.65331960625623,70.70663921251246,81.66666666666667,94.0,94.0,81.66666666666667,1.0,5,1.0,Tier 2 — Medium
134,,,77.78343909877027,86.76687819754056,95.33333333333333,29.0,29.0,95.33333333333333,1.0,5,1.0,Tier 2 — Medium
135,,,76.71000204544367,70.82000409088734,87.66666666666667,75.0,75.0,87.66666666666667,1.0,5,1.0,Tier 2 — Medium
136,,,76.5077614915293,73.61552298305858,70.33333333333333,93.0,93.0,70.33333333333333,1.0,5,1.0,Tier 2 — Medium
137,,,75.10258453691658,68.40516907383315,73.66666666666667,94.0,94.0,73.66666666666667,1.0,5,1.0,Tier 2 — Medium
138,,,74.38271019754356,82.16542039508712,61.0,75.0,75.0,61.0,1.0,5,1.0,Tier 2 — Medium
139,,,72.89833419425237,81.19666838850473,55.0,79.0,79.0,55.0,1.0,5,1.0,Tier 2 — Medium
140,,,72.66254524346074,61.325090486921475,92.0,72.0,72.0,92.0,1.0,5,1.0,Tier 2 — Medium
141,,,72.62893273142717,68.05786546285435,92.0,55.0,55.0,92.0,1.0,5,1.0,Tier 2 — Medium
142,,,71.34721026330133,70.09442052660266,63.0,87.0,87.0,63.0,1.0,5,1.0,Tier 2 — Medium
143,,,70.97317070900442,68.94634141800883,69.66666666666667,78.0,78.0,69.66666666666667,1.0,5,1.0,Tier 2 — Medium
144,,,70.31563699983413,64.03127399966826,81.0,70.0,70.0,81.0,1.0,5,1.0,Tier 2 — Medium
145,,,69.40153192008921,58.00306384017844,69.33333333333333,98.0,98.0,69.33333333333333,1.0,5,1.0,Tier 2 — Medium
146,,,67.90151557040255,68.80303114080512,47.666666666666664,96.0,96.0,47.666666666666664,1.0,5,1.0,Tier 2 — Medium
147,,,67.5098442823382,60.81968856467639,80.33333333333333,65.0,65.0,80.33333333333333,1.0,5,1.0,Tier 2 — Medium
